Title,Release year,Genre,Runtime(min),Rating,Votes
Duvar,1983,Drama,117,8.0,4376
"Linksmų Kalėdų, pone Lorensai",1983,"Drama, War",123,7.2,19499
Rembetiko,1983,"Biography, Drama, Music",110,8.1,3075
Mo,1983,Horror,105,7.0,1831
Rue Cases Nègres,1983,"Drama, History",103,7.3,1007
Hakkari'de Bir Mevsim,1983,Drama,110,7.3,746
Zeligas,1983,Comedy,79,7.7,43645
Karo zona,1999,"Drama, Thriller",98,7.3,10981
Glykia symmoria,1983,"Crime, Drama, Thriller",154,7.4,1689
Švelnumo kalba,1983,"Comedy, Drama",132,7.4,64259
Skrydžiai sapnuose ir tikrovėje,1983,Drama,92,7.5,1316
Coup de foudre,1983,"Biography, Drama, War",110,7.0,2156
Gyvenimo prasmė,1983,"Comedy, Musical",107,7.5,124191
Nebijok vilko,1983,"Adventure, Drama",105,7.5,8650
Carmen,1983,"Drama, Music, Romance",102,7.5,3498
Carmen,1984,"Drama, Music, Romance",152,7.4,1694
Educating Rita,1983,"Comedy, Drama",110,7.2,14729
Karen Silkvud,1983,"Biography, Drama, History",131,7.1,21787
Vivement dimanche!,1983,"Comedy, Crime, Mystery",110,7.2,7375
The Dresser,1983,Drama,118,7.5,5605
Nankyoku monogatari,1983,"Adventure, Drama",143,7.6,1734
Kvaišu šeimyneles atostogos,1983,"Adventure, Comedy",98,7.3,117975
Testament,1983,"Drama, Sci-Fi",90,6.9,6995
Alkis,1983,"Drama, Horror",97,6.6,28576
Wielki Szu,1983,"Action, Drama, Romance",96,7.4,1092
L'été meurtrier,1983,"Drama, Mystery",133,7.2,5254
Brussels by Night,1983,Drama,87,6.5,722
Jób lázadása,1983,Drama,105,7.5,683
Sužeistas žmogus,1983,"Crime, Drama, Romance",109,6.7,1272
Mortelle randonnée,1983,"Crime, Mystery, Romance",120,7.0,2633
Bianca,1983,"Comedy, Drama",96,7.3,3525
Amadėjus,1984,"Biography, Drama, Music",160,8.4,420835
Love Streams,1984,Drama,141,7.7,6486
The Times of Harvey Milk,1984,"Documentary, Biography, History",90,8.2,6477
Los santos inocentes,1984,Drama,107,8.1,4548
Atgaila,1984,Drama,153,8.1,4807
Bao gio cho den tháng Muoi,1984,Drama,95,7.7,456
Memórias do Cárcere,1984,Drama,185,7.6,499
Kaos,1984,"Comedy, Drama, Romance",187,7.8,3073
Paar,1984,Drama,141,7.7,541
Mirties laukai,1984,"Biography, Drama, History",141,7.8,58331
Un dimanche à la campagne,1984,Drama,90,7.4,3064
Repo Man,1984,"Action, Comedy, Crime",92,6.9,40062
Another State of Mind,1984,"Documentary, Music",78,7.7,856
Chuchelo,1984,Drama,127,7.7,1818
Secret Honor,1984,"Biography, Comedy, Drama",90,7.2,3337
Visiškai slaptai,1984,"Comedy, Crime, Music",90,7.2,71588
Öszi almanach,1984,Drama,119,7.2,1593
Clue,1985,"Comedy, Crime, Mystery",94,7.2,106456
Piktieji numirėliai 2,1987,"Comedy, Horror",84,7.7,179268
"Lėktuvu, traukiniu ir automobiliu",1987,"Comedy, Drama",93,7.6,156750
Tamsos kariuomenė,1992,"Comedy, Horror",81,7.4,191865
Streets of Fire,1984,"Action, Crime, Drama",93,6.7,23617
The Natural,1984,"Drama, Sport",138,7.4,51772
A Soldier's Story,1984,"Crime, Drama, Mystery",101,7.2,11114
Širdies kerteles,1984,Drama,111,7.4,13001
1984,1984,"Drama, Sci-Fi",113,7.1,77453
Seksmisija,1984,"Adventure, Comedy, Sci-Fi",117,7.5,14127
Tanpopo,1985,Comedy,114,7.9,21786
Brazilija,1985,"Drama, Sci-Fi, Thriller",132,7.9,208699
Oficiali versija,1985,"Drama, History",112,7.7,10619
Tóngnián wangshì,1985,"Biography, Drama",138,7.6,3421
Purpurinė Kairo rožė,1985,"Comedy, Fantasy, Romance",82,7.7,54208
Gyventi ir mirti Los Andžele,1985,"Action, Crime, Drama",116,7.3,38193
Zügürt Aga,1985,"Comedy, Drama",101,8.7,16106
Numirėlių sugrįžimas,1985,"Comedy, Horror, Sci-Fi",91,7.3,67452
Sherman's March,1985,"Documentary, Biography, Comedy",157,7.2,2677
Desert Hearts,1985,"Drama, Romance",91,7.1,7074
Mano šuniškas gyvenimas,1985,"Drama, Comedy",101,7.6,22190
Re-animatorius,1985,"Comedy, Horror, Sci-Fi",84,7.2,70255
Mirusiųjų diena,1985,"Horror, Thriller",101,7.1,73355
Lost in America,1985,Comedy,91,7.0,9907
Moters vorės pabučiavimas,1985,Drama,120,7.3,17054
Be pabaigos,1985,"Drama, Romance",107,7.4,5553
La messa è finita,1985,"Comedy, Drama",94,7.2,1983
Höhenfeuer,1985,Drama,119,7.0,1010
Petrina hronia,1985,"Drama, History, Romance",142,7.7,857
Vesnicko má stredisková,1985,Comedy,98,7.8,4743
The Adventures of Mark Twain,1985,"Animation, Adventure, Family",86,7.2,3329
Restless Natives,1985,"Comedy, Crime",89,6.8,1930
Tuntematon sotilas,1985,"Drama, War",197,7.4,2996
Tikrasis genijus,1985,"Comedy, Romance, Sci-Fi",108,6.9,37090
The Trip to Bountiful,1985,Drama,108,7.4,5184
Sweet Dreams,1985,"Biography, Drama, Music",115,7.0,5210
Prieglauda,2007,"Drama, Horror, Mystery",105,7.4,161850
True Stories,1986,"Comedy, Musical",89,7.2,7308
Pisma myortvogo cheloveka,1986,"Drama, Sci-Fi",87,7.6,3670
Amma Ariyan,1986,Drama,115,7.3,212
Do ma daan,1986,"Comedy, Action",104,7.3,2602
Hana ir seserys,1986,"Comedy, Drama",107,7.8,75346
Ferio Biulerio poilsio diena,1986,Comedy,103,7.8,380059
Comrades,1986,"Drama, History",183,7.3,917
Žanas de Floretas,1986,"Comedy, Drama",120,8.1,27173
Liàn liàn fengchén,1986,"Drama, Romance",109,7.6,3109
Šaltinių Manon,1986,"Drama, Western",113,8.0,23600
Blogas kraujas,1986,"Crime, Drama, Romance",116,7.2,9144
Hombre mirando al sudeste,1986,"Drama, Mystery, Sci-Fi",105,7.6,4512
Kin-dza-dza!,1986,"Comedy, Drama, Sci-Fi",135,7.9,13502
El viaje a ninguna parte,1986,"Comedy, Drama",134,7.5,1827
Ying hung boon sik,1986,"Action, Crime, Drama",95,7.4,24921
Siaubu krautuvele,1986,"Comedy, Horror, Musical",94,7.1,84685
"37,2 laipsnio ryte",1986,"Drama, Romance",119,7.3,22981
Mona Liza,1986,"Crime, Drama, Romance",104,7.3,18286
'Round Midnight,1986,"Drama, Music",133,7.4,5753
Rožės vardas,1986,"Drama, Mystery, Thriller",130,7.7,114930
Misija,1986,"Adventure, Drama, History",125,7.4,64696
Henris: serijinio žudiko portretas,1986,"Biography, Crime, Drama",83,7.0,39717
Malcolm,1986,"Comedy, Crime, Sci-Fi",85,7.1,2770
Taiklus metimas,1986,"Drama, Sport",114,7.4,50154
Tenue de soirée,1986,"Comedy, Crime, Drama",84,6.9,3540
De aanslag,1986,"Drama, History, Romance",141,7.2,3370
Lukasas,1986,"Comedy, Drama, Romance",100,6.9,17290
Pretty in Pink,1986,"Comedy, Drama, Romance",97,6.7,87153
Matewan,1987,"Drama, History",135,7.9,8705
Broadcast News,1987,"Comedy, Drama, Romance",133,7.2,33461
Babetes puota,1987,Drama,103,7.8,21486
Landscape Suicide,1986,"Crime, Drama",95,7.3,623
Vitneilas ir aš,1987,"Comedy, Drama",107,7.5,46923
Przypadek,1987,"Drama, Romance",114,7.7,10929
Swimming to Cambodia,1987,"Comedy, Drama",85,7.6,2344
Anayurt Oteli,1987,"Crime, Drama, Thriller",101,7.5,4420
Chau tin dik tung wa,1987,"Drama, Romance",98,7.5,2245
Pelia Užkariautojas,1987,Drama,157,7.8,11628
Yeelen,1987,"Drama, Fantasy",105,6.9,2685
Nakhoda Khorshid,1987,"Crime, Drama",118,7.4,1209
Zerkalo dlya geroya,1987,"Drama, Fantasy, Sci-Fi",139,7.5,716
High Tide,1987,Drama,104,7.1,957
Žalioji kobra,1987,"Adventure, Drama",111,6.9,8270
Tandem,1987,"Comedy, Drama",86,7.0,1293
Ofelas,1987,"Action, Adventure, Drama",86,7.2,5479
The Lonely Passion of Judith Hearne,1987,"Drama, Romance",116,7.0,1187
Ejareh-Nesheenha,1987,"Comedy, Drama",109,7.7,2693
The Whales of August,1987,Drama,90,7.1,5191
Le grand chemin,1987,Drama,104,7.3,1731
Trumpas filmas apie meilę,1988,"Drama, Romance",87,8.1,25505
The Thin Blue Line,1988,"Documentary, Crime",101,8.0,25564
Kárhozat,1988,"Crime, Drama, Romance",120,7.6,6613
Trumpas filmas apie žudymą,1988,"Crime, Drama",84,8.0,21938
Camp de Thiaroye,1988,"Drama, War",157,7.7,626
Ant sidabrinio gaublio,1988,"Adventure, Drama, Fantasy",166,7.2,4258
"Distant Voices, Still Lives",1988,"Drama, Music",84,7.4,4980
Lobių sala,1988,"Animation, Adventure, Comedy",107,8.2,4144
De bruit et de fureur,1988,Drama,95,7.2,1136
Let's Get Lost,1988,"Documentary, Biography, Music",120,7.8,2154
La boca del lobo,1988,"Action, Drama, War",128,7.4,632
Salaam Bombay!,1988,"Crime, Drama",113,7.9,9954
High Hopes,1988,"Comedy, Drama",108,7.4,5680
Torch Song Trilogy,1988,"Comedy, Drama, Romance",120,7.8,7745
Bėgimas naktį,1988,"Action, Comedy, Crime",126,7.5,92536
Hôtel Terminus,1988,"Documentary, Biography, History",267,7.6,1552
Cane Toads: An Unnatural History,1988,"Documentary, Comedy",47,7.6,1349
The Decline of Western Civilization Part II: The Metal Years,1988,"Documentary, Music",93,7.2,4221
Ashug-Karibi,1988,Drama,73,7.2,2203
Imagine: John Lennon,1988,"Documentary, Biography, Music",100,7.8,5130
Žuvelė vardu Vanda,1988,"Comedy, Crime",108,7.5,150883
Om Dar-B-Dar,1988,Drama,101,7.1,550
La leggenda del santo bevitore,1988,Drama,128,7.2,2103
Os Canibais,1988,"Musical, Drama, Fantasy",90,7.1,534
Kung-fu master!,1988,"Drama, Romance",80,6.9,2080
Camille Claudel,1988,"Biography, Drama, History",175,7.2,7206
Adata,1988,"Drama, Thriller",81,6.9,2847
La lectrice,1988,"Comedy, Drama",99,7.0,1783
Zero miestas,1988,"Comedy, Drama, Mystery",103,7.4,2479
Near Death,1989,Documentary,358,8.3,257
Mirusių poetų draugija,1989,"Comedy, Drama",128,8.1,529866
Liūdesio miestas,1989,"Drama, History",157,7.8,5909
For All Mankind,1989,"Documentary, History",80,8.1,6374
Samdomas žudikas,1989,"Action, Crime, Drama",111,7.8,50480
Depeche Mode: 101,1989,"Documentary, Music",120,8.1,2017
Bilder der Welt und Inschrift des Krieges,1989,"Documentary, War",75,7.6,316
Route One USA,1989,Documentary,255,8.0,288
Nusikaltimai ir prasižengimai,1989,"Comedy, Drama",104,7.8,60224
Uçurtmayi Vurmasinlar,1989,"Crime, Drama",85,8.3,7068
Kuroi ame,1989,"Drama, War",123,7.8,3828
Rojo amanecer,1990,"Drama, Thriller",96,8.0,1987
Oru Vadakkan Veeragatha,1989,"Drama, History",168,8.7,5966
"Bashu, gharibeye koochak",1989,"Drama, War",120,8.0,3143
Les sièges de l'Alcazar,1989,Comedy,54,7.4,204
Mano kairė koja,1989,"Biography, Drama",103,7.8,78510
The Unbelievable Truth,1989,"Comedy, Drama, Romance",90,7.2,6080
Monsieur Hire,1989,"Crime, Drama, Romance",81,7.5,7021
Che ora è?,1989,"Comedy, Drama",97,7.3,1250
Triumfas,1989,"Biography, Drama, History",122,7.8,142019
Roger & Me,1989,Documentary,91,7.5,27351
Plienines magnolijos,1989,"Comedy, Drama, Romance",117,7.3,61478
La vie et rien d'autre,1989,"Drama, War",135,7.5,2089
Mest,1989,"Drama, History",100,7.2,693
Sedím na konári a je mi dobre,1989,"Comedy, Drama",110,7.6,507
Boris Godounov,1989,"Musical, Drama",118,7.2,369
Jésus de Montréal,1989,"Drama, Romance",118,7.5,7474
Longtime Companion,1989,"Drama, Romance",96,7.5,6054
Talvisota,1989,"Drama, History, War",199,7.6,8630
Sweetie,1989,"Comedy, Drama",97,6.7,5216
Lean on Me,1989,Drama,108,7.4,22497
Baxter,1989,"Comedy, Drama, Horror",82,6.7,2697
Last Exit to Brooklyn,1989,Drama,102,6.8,6780
Noce blanche,1989,"Drama, Romance",92,6.9,2759
Valmonas,1989,"Drama, Romance",137,7.0,14123
Strangers in Good Company,1990,"Adventure, Drama",101,7.7,1255
ABC da Greve,1990,Documentary,75,7.9,200
American Dream,1990,Documentary,98,7.8,991
Pasitikėjimas,1990,"Comedy, Crime, Drama",107,7.4,12047
Dip huet gai tau,1990,"Action, Crime, Drama",136,7.5,11472
Life Is Sweet,1990,"Comedy, Drama",103,7.4,11102
To Sleep with Anger,1990,Drama,102,7.2,2849
"'Non', ou A Vã Glória de Mandar",1990,"Drama, History, War",110,7.2,970
Step Across the Border,1990,"Documentary, Music",90,8.0,330
An Angel at My Table,1990,"Biography, Drama",158,7.4,8544
Leben - BRD,1990,Documentary,83,7.6,116
"Zamri, umri, voskresni!",1990,Drama,105,7.6,919
Metropolitan,1990,"Comedy, Drama, Romance",98,7.3,12113
Le château de ma mère,1990,"Adventure, Biography, Comedy",98,7.6,5538
Dziudou,1990,"Drama, Romance",95,7.6,8884
La gloire de mon père,1990,"Adventure, Biography, Drama",105,7.6,6912
Debesų rojus,1990,Drama,76,7.7,775
Le mari de la coiffeuse,1990,"Comedy, Drama, Romance",82,7.1,10242
Sirano de Beržerakas,1990,"Comedy, Drama, History",137,7.5,25568
Raudonojo Spalio medžioklė,1990,"Action, Adventure, Thriller",135,7.5,210984
Pump Up the Volume,1990,"Comedy, Drama, Music",102,7.2,30722
Reise der Hoffnung,1990,"Adventure, Drama",105,7.5,2210
Truly Madly Deeply,1990,"Comedy, Drama, Fantasy",106,7.2,9860
Le party,1990,Drama,103,7.0,581
Il viaggio di Capitan Fracassa,1990,"Adventure, Comedy, History",132,7.3,1103
Ucieczka z kina 'Wolnosc',1990,"Comedy, Drama, Fantasy",92,7.1,1159
Mo' Better Blues,1990,"Drama, Music, Romance",129,6.7,13392
"¡Ay, Carmela!",1990,"Comedy, Drama, War",102,7.1,3236
Virpesiai,1990,"Comedy, Horror",96,7.1,146939
Hamoun,1990,Drama,120,7.9,7162
Mountains of the Moon,1990,"Adventure, Drama, History",136,7.1,4176
"After Dark, My Sweet",1990,"Crime, Drama, Mystery",114,6.5,4069
Sukčiai,1990,"Crime, Drama, Thriller",110,6.9,30007
Vincent & Theo,1990,"Biography, Drama",140,6.9,4146
Ghayal,1990,"Action, Crime, Drama",163,7.7,4984
Prabudimai,1990,"Biography, Drama",121,7.8,154723
The Field,1990,"Drama, Thriller",107,7.3,6619
Uždek raudoną žibintą,1991,"Drama, Romance",125,8.1,34724
El-Kit Kat,1991,"Comedy, Drama, Romance",129,8.2,2572
La Belle Noiseuse,1991,Drama,238,7.5,9168
Pietinio kvartalo vyrukai,1991,"Crime, Drama",112,7.8,150922
"Ano natsu, ichiban shizukana umi",1991,"Comedy, Drama, Romance",101,7.5,6525
Šunu peštynes,1991,"Comedy, Drama, Romance",94,7.3,9821
Daughters of the Dust,1991,"Drama, History, Romance",113,6.7,3149
Kepti žalieji pomidorai,1991,Drama,130,7.7,80442
Karalius žvejys,1991,"Comedy, Drama, Fantasy",137,7.5,89661
Apginti gyvenimą,1991,"Comedy, Drama, Fantasy",112,7.2,20591
City of Hope,1991,"Crime, Drama",129,7.3,2674
Toto le héros,1991,"Comedy, Drama, Fantasy",91,7.5,6210
Zombie ja Kummitusjuna,1991,"Comedy, Drama, Music",88,7.2,1091
Obecná skola,1991,"Adventure, Comedy, Drama",100,7.8,3175
A Brief History of Time,1991,"Documentary, Biography",80,7.3,5827
Proof,1991,"Drama, Romance",86,7.2,7049
Nuodai,1991,"Drama, Horror, Romance",85,6.3,4913
Vel mirusi,1991,"Crime, Drama, Mystery",107,6.8,30000
Black Robe,1991,"Adventure, Drama, War",101,7.1,7570
Viduržemio jūra,1991,"Comedy, Drama, War",96,7.4,16216
Žmogus mėnulyje,1991,"Drama, Romance",99,7.3,18025
Baraka,1992,Documentary,96,8.5,40534
Nežinomos šalies žvėrys,2015,"Drama, War",137,7.7,85687
Japón,2002,Drama,130,6.9,3945
Al-lail,1992,"Drama, History, War",116,7.6,158
Malkolmas X,1992,"Biography, Drama, History",202,7.7,100381
Wu yan de shan qiu,1992,"Crime, Drama, History",165,8.2,353
Videogramme einer Revolution,1992,"Documentary, History, War",106,8.1,634
Lat sau san taam,1992,"Action, Crime, Thriller",128,7.7,53270
Ram Ke Naam,1992,Documentary,90,8.9,817
Céline,1992,Drama,88,7.0,586
"Tvin Pyksas: ugnie, sek paskui mane",1992,"Drama, Horror, Mystery",134,7.3,103170
Seishun dendekedekedeke,1992,Comedy,135,7.1,197
Balanta,1992,"Comedy, Drama",105,7.9,3703
Qingshaonian Nuozha,1992,"Crime, Drama, Romance",106,7.5,5345
Miejsce urodzenia,1992,Documentary,47,8.0,237
Hienos,1992,"Comedy, Drama",110,7.4,1286
Brother's Keeper,1992,"Documentary, Crime, Mystery",104,7.5,4235
Orlando,1992,"Biography, Drama, Fantasy",94,7.1,18247
Mano pusbrolis Vinis,1992,"Comedy, Crime",120,7.6,137083
Gilus pogrindis,1992,"Action, Crime, Thriller",107,7.0,13652
Manufacturing Consent: Noam Chomsky and the Media,1992,"Documentary, Biography, War",167,8.1,4879
Vyrai ir zmonos,1992,"Comedy, Drama, Romance",108,7.5,30763
1991: The Year Punk Broke,1992,"Documentary, History, Music",99,7.3,1551
Un coeur en hiver,1992,"Drama, Music, Romance",105,7.6,10523
Moteru lyga,1992,"Comedy, Drama, Sport",128,7.3,118582
Il ladro di bambini,1992,"Crime, Drama",114,7.6,2831
C'est arrivé près de chez vous,1992,"Comedy, Crime, Drama",95,7.4,43148
Le pays des sourds,1992,Documentary,99,7.6,366
Gölge Oyunu,1993,"Drama, Fantasy",103,7.7,3701
Al-irhab wal kabab,1992,"Action, Comedy, Crime",105,7.7,3174
Geri ketinimai,1992,"Biography, Drama, Romance",180,7.7,3440
Surviving Desire,1992,"Comedy, Drama, Romance",53,7.3,1726
Qiu Ju da guan si,1992,"Comedy, Drama",100,7.6,6537
Simple Men,1992,"Crime, Drama, Romance",105,7.1,4684
Careful,1992,"Comedy, Drama, Horror",100,7.0,1927
Bitininkas,1992,"Horror, Thriller",99,6.7,98774
Strictly Ballroom,1992,"Comedy, Drama, Music",94,7.2,29057
Requiem pour un beau sans-coeur,1992,"Crime, Drama",93,7.4,446
Light Sleeper,1992,"Crime, Drama",103,6.9,9037
Udzinarta mze,1992,"Drama, Crime",123,8.5,1629
San lung moon hak chan,1992,"Action, Thriller",88,7.2,4737
L.627,1992,"Crime, Drama, Thriller",145,7.2,2125
Siu ngo gong woo: Dung Fong Bat Bai,1992,"Action, Fantasy",112,7.1,4710
Vacas,1992,"Drama, Mystery, Romance",96,7.1,3897
Mit Verlust ist zu rechnen,1993,Documentary,118,7.3,203
The Panama Deception,1992,"Documentary, History, War",91,7.5,1150
Psy,1992,"Action, Crime, Drama",104,7.6,5362
Juice,1992,"Action, Crime, Drama",95,7.0,29607
Kleine Haie,1992,"Comedy, Romance",87,7.5,1447
The Tune,1992,"Animation, Comedy, Fantasy",69,7.0,1019
Rafinuoti vagys,1992,"Comedy, Crime, Drama",126,7.1,61715
Čia teka upė,1992,Drama,123,7.2,64342
Daens,1992,"Biography, Drama, History",138,7.5,4335
Map of the Human Heart,1992,"Adventure, Drama, Romance",109,7.0,3389
Viengungiai,1992,"Comedy, Drama, Music",99,6.7,32174
"Ranka, supanti lopši",1992,"Drama, Thriller",110,6.7,48067
Divertimento,1992,Drama,130,7.4,705
Indochine,1992,"Drama, Romance, War",160,7.0,10700
"Sudie, mano sugulove",1992,"Drama, Music, Romance",171,8.1,32209
Trys spalvos: Mėlyna,1993,"Drama, Music, Mystery",94,7.9,108658
Latcho Drom,1993,"Documentary, Music",103,8.1,2108
Silverlake Life: The View from Here,1993,Documentary,99,8.1,516
Nuogas,1993,"Comedy, Drama",131,7.7,42883
Ohikkoshi,1993,Drama,125,7.6,579
Kidô keisatsu patorebâ: The Movie 2,1993,"Animation, Action, Drama",113,7.5,4497
Mėlyna,1993,"Biography, Drama",79,7.3,2637
La estrategia del caracol,1993,"Comedy, Drama",116,7.7,2752
Vale Abraão,1993,Drama,187,7.3,1512
Vardan tėvo,1993,"Biography, Crime, Drama",133,8.1,184204
Time Indefinite,1993,"Documentary, Biography",114,7.7,404
Ching se,1993,"Drama, Fantasy",99,7.2,3525
Sonachine,1993,"Action, Comedy, Crime",94,7.5,22822
The Bed You Sleep In,1993,Drama,117,7.3,285
Caro diario,1993,"Biography, Comedy, Drama",100,7.2,8881
Bronkso istorijos,1993,"Crime, Drama",121,7.8,156117
Le tombeau d'Alexandre,1993,"Documentary, Biography, History",120,7.9,721
Filadelfija,1993,Drama,125,7.7,254188
Belovy,1992,Documentary,60,7.5,385
Lan feng zheng,1993,Drama,140,7.5,3198
The Joy Luck Club,1993,Drama,139,7.7,17968
Xi meng ren sheng,1993,"Biography, Drama, War",142,7.1,2028
Pavojingi visuomenei,1993,"Crime, Drama, Thriller",97,7.5,63292
"L'arbre, le maire et la médiathèque",1993,"Comedy, Drama",105,6.9,1689
Žaliųjų papajų aromatas,1993,"Drama, Music, Romance",104,7.3,9686
Fresa y chocolate,1993,"Comedy, Drama, Romance",108,7.4,5946
Siu nin Wong Fei Hung chi: Tit ma lau,1993,"Action, Crime, Drama",90,7.5,17062
Zaidimu aikstele,1993,"Comedy, Drama, Family",101,7.8,100237
Bad Boy Bubby,1993,"Comedy, Crime, Drama",114,7.3,14790
Thirty Two Short Films About Glenn Gould,1993,"Biography, Drama, Music",98,7.3,3887
Stalingradas,1993,"Drama, War",134,7.5,37140
Sari Mercedes,1993,"Action, Comedy, Drama",90,7.8,3190
Seopyeonje,1993,"Drama, Music",112,7.6,1093
"Clean, Shaven",1993,"Crime, Drama, Thriller",79,7.0,5941
Raining Stones,1993,"Comedy, Drama",90,7.3,4830
The Secret Adventures of Tom Thumb,1993,"Animation, Adventure, Drama",60,7.2,1607
San bat liu ching,1993,"Drama, Romance",105,7.6,926
The Music of Chance,1993,Drama,98,7.1,2506
Fearless,1993,"Drama, Thriller",122,7.1,24152
La naissance de l'amour,1993,Drama,94,6.9,492
The Cement Garden,1993,Drama,105,7.0,5237
Bobio Fišerio beieškant,1993,"Biography, Drama, Sport",109,7.4,41826
Cronos,1992,"Drama, Fantasy, Horror",94,6.7,32629
Germinal,1993,"Drama, Romance",160,7.1,5656
Nenugalimas,2009,"Action, Adventure, Biography",134,7.3,166275
Musu tevu veliavos,2006,"Action, Adventure, Drama",135,7.1,127966
Krauju už kraują,1993,"Crime, Drama",180,7.9,33428
Hoop Dreams,1994,"Documentary, Drama, Sport",170,8.3,27632
Trys spalvos: Raudona,1994,"Drama, Mystery, Romance",99,8.1,108436
Gyventi!,1994,"Drama, War",133,8.3,20036
Yang guang can lan de ri zi,1994,"Drama, Romance",134,8.1,5361
Crumb,1994,"Documentary, Biography, Comedy",119,8.0,21319
Duo sang,1994,Drama,167,7.5,326
What Happened Was...,1994,"Comedy, Drama, Romance",91,7.3,2176
Exotica,1994,Drama,103,7.0,20814
London,1994,Documentary,85,7.3,740
Girtas meistras II,1994,"Action, Comedy",102,7.5,48350
Crooklyn,1994,"Comedy, Drama",115,7.0,11129
"Priscilos, dykumos karalienės, nuotykiai",1994,"Comedy, Music",104,7.5,53864
Fresh,1994,"Crime, Drama, Thriller",114,7.5,14317
Húsz óra,1965,Drama,110,7.6,460
Lúdas Matyi,1977,"Animation, Adventure, Comedy",70,8.2,2246
"Bei kao bei, lian dui lian",1994,Drama,148,8.2,694
Vuk,1981,"Animation, Adventure, Comedy",79,8.3,5962
Les roseaux sauvages,1994,Drama,110,7.3,6471
Wrony,1994,Drama,66,7.2,693
Ladybird Ladybird,1994,Drama,101,7.4,3758
Muriel vestuves,1994,"Comedy, Drama",106,7.2,41196
Trys spalvos: balta,1994,"Comedy, Drama, Romance",92,7.6,78251
Casa de Lava,1994,Drama,110,6.9,1084
Karalienė Margo,1994,"Biography, Drama, History",161,7.4,18627
L'eau froide,1994,Drama,95,7.0,2166
Viktorina,1994,"Biography, Drama, History",133,7.5,72471
Negilus kapas,1994,"Crime, Drama, Thriller",89,7.3,65279
Dellamorte dellamore,1994,"Comedy, Horror",105,7.1,22666
Bandit Queen,1994,"Action, Biography, Crime",119,7.5,5212
The Secret of Roan Inish,1994,"Drama, Family, Fantasy",103,7.4,9718
Lisbon Story,1994,"Drama, Music",100,7.1,5298
Jing wu ying xiong,1994,"Action, Drama",103,7.5,24658
Barcelona,1994,"Comedy, Drama, Romance",101,7.0,6547
Jízda,1994,"Comedy, Drama, Romance",90,7.3,1118
Octobre,1994,Drama,97,7.4,835
Lamerica,1994,"Comedy, Drama",116,7.4,2357
Dung che sai duk,1994,"Action, Drama",100,7.0,16629
The Madness of King George,1994,"Biography, Comedy, Drama",110,7.2,17920
Nattevagten,1994,Thriller,107,7.2,17064
Tarp rykliu,1994,"Comedy, Crime",93,7.0,24855
La cité de la peur,1994,"Comedy, Horror",100,7.5,10201
Immortal Beloved,1994,"Biography, Drama, Music",121,7.4,25922
Whale Music,1994,"Comedy, Drama",107,7.1,586
Maboroshi no hikari,1995,Drama,110,7.5,7086
Love Letter,1995,"Drama, Romance",117,7.9,10598
O Pátio das Cantigas,1942,"Comedy, Musical",121,7.8,1255
The Hasty Heart,1949,"Drama, War",102,7.3,1524
I Love You Again,1940,"Comedy, Romance",99,7.4,3733
The Sullivans,1944,"Biography, Drama, History",112,7.5,2329
Our Vines Have Tender Grapes,1945,"Drama, Family",105,7.6,2285
It Happened on Fifth Avenue,1947,"Comedy, Music, Romance",116,7.6,5995
Piratas,1948,"Adventure, Comedy, Musical",102,6.9,5468
The Mating Season,1951,"Comedy, Drama, Romance",101,7.4,1919
The Star,1952,"Drama, Romance",89,7.0,4089
"Laterna, ftoheia kai filotimo",1955,"Comedy, Music",91,7.5,1150
Debesu žemelapis,2012,"Drama, Mystery, Sci-Fi",172,7.4,371173
Heidi,2015,"Drama, Family",111,7.4,6862
City Island,2009,"Comedy, Drama",104,7.3,32370
Šanchajaus triada,1995,"Crime, Drama, History",108,7.1,5953
Mano paslapties gėlė,1995,"Comedy, Drama",103,7.0,12579
Le confessionnal,1995,"Drama, Mystery, Thriller",100,7.4,1630
Priest,1994,"Drama, Romance",105,7.1,10887
Nadie hablará de nosotras cuando hayamos muerto,1995,"Crime, Drama, Thriller",104,6.9,2167
Ričardas III,1995,"Drama, Sci-Fi, War",110,7.3,15385
Sai yau gei: Yut gwong bou haap,1995,"Action, Adventure, Comedy",87,7.5,8164
Kjærlighetens kjøtere,1995,Drama,118,7.3,2051
Nelly & Monsieur Arnaud,1995,Drama,106,7.2,5002
"Institute Benjamenta, or This Dream People Call Human Life",1995,Drama,105,7.0,1982
Rikša,1995,"Crime, Drama",123,7.2,5388
Der Totmacher,1995,"Crime, Drama",110,7.5,2310
Gekijouban Makurosu Purasu,1995,"Animation, Action, Drama",115,7.6,668
Bian Lian,1995,Drama,91,7.7,3444
Antonia,1995,"Comedy, Drama",102,7.4,9358
Living in Oblivion,1995,"Comedy, Drama",90,7.5,19811
Land and Freedom,1995,"Drama, War",109,7.5,11909
Dao,1995,Action,105,7.0,3524
Sai yau gei: Sin leui kei yun,1995,"Action, Adventure, Comedy",98,7.8,8296
Záhrada,1995,Comedy,99,7.6,2153
Hao nan hao nu,1995,"Drama, Romance",108,7.1,1230
Salam Cinema,1995,"Documentary, Comedy, Drama",75,7.7,2144
The Celluloid Closet,1995,"Documentary, History",102,7.8,7407
Re dai yu,1995,"Comedy, Drama",107,7.6,583
