Title,Release year,Genre,Runtime(min),Rating,Votes
Body and Soul,1947,"Drama, Film-Noir, Sport",104,7.6,5287
Dark Passage,1947,"Film-Noir, Thriller",106,7.5,21526
The Ghost and Mrs. Muir,1947,"Comedy, Drama, Fantasy",104,7.8,20522
Miracle on 34th Street,1947,"Comedy, Drama, Family",96,7.9,52691
Ponas Reduksas,1947,"Comedy, Crime, Drama",124,7.8,18808
Odd Man Out,1947,"Crime, Drama, Film-Noir",116,7.6,11072
Iš praeities,1947,"Crime, Drama, Film-Noir",97,8.0,40146
Dviračių vagys,1948,Drama,89,8.3,172046
The Snake Pit,1948,"Drama, Mystery",108,7.6,8279
Virvė,1948,"Crime, Drama, Mystery",80,7.9,151134
Raudoni bateliai,1948,"Drama, Music, Romance",135,8.1,38151
Raudonoji upė,1948,"Drama, Western",133,7.8,33663
Oliver Twist,1948,Drama,116,7.8,13385
The Naked City,1948,"Crime, Drama, Film-Noir",96,7.6,15138
Letter from an Unknown Woman,1948,"Drama, Romance",87,7.9,13397
Johnny Belinda,1948,Drama,102,7.7,5183
I Remember Mama,1948,"Drama, Family",134,7.9,5908
Hamletas,1948,Drama,154,7.6,18039
Easter Parade,1948,"Musical, Romance",103,7.3,10769
Umbertas D.,1952,Drama,89,8.2,27611
Šiušia,1946,Drama,87,8.0,7989
La ciociara,1960,"Drama, War",101,7.7,12199
Miracolo a Milano,1951,"Comedy, Drama, Fantasy",97,7.6,8257
I bambini ci guardano,1943,Drama,84,7.7,2993
Itališkos vedybos,1964,"Comedy, Drama, Romance",102,7.4,10783
Il giardino dei Finzi Contini,1970,"Drama, History, War",94,7.3,7513
I girasoli,1970,"Drama, War",107,7.3,4363
Il tetto,1956,"Comedy, Drama",91,7.4,1220
Una breve vacanza,1973,"Drama, Romance",112,7.5,963
"Vakar, šiandien, rytoj",1963,"Comedy, Romance",114,7.2,9938
Bokačas 70,1962,"Comedy, Fantasy, Romance",205,7.0,4937
"Sorry, Wrong Number",1948,"Drama, Film-Noir, Mystery",89,7.3,12291
Xiao cheng zhi chun,1948,"Drama, Romance",98,7.3,3277
Unfaithfully Yours,1948,"Comedy, Music, Romance",105,7.5,5712
Adam's Rib,1949,"Comedy, Romance",101,7.4,22600
All the King's Men,1949,"Drama, Film-Noir",110,7.4,16229
Battleground,1949,"Action, Drama, History",118,7.4,7719
Champion,1949,"Drama, Film-Noir, Sport",99,7.3,4684
Paveldėtoja,1949,"Drama, Romance",115,8.1,16951
